id,categoria_id,categoria_titulo,artigo_titulo,artigo_conteudo
"Links, link, telefone",06_ferramentas,Ferramentas do Agente,Telefones e Links Públicos,"<p>Estes telefones e links podem ser divulgados para os clientes e serem usados como ferramentas do atendimento. \n<strong>Central de atendimento</strong>\nCapitais e Regiões metropolitanas: 3003-7293\nDemais localidades: 0800-800-0049\nFormulário de abertura de ticket: <a href=""https://bit.ly/4g4FkRZ"" target=""_blank"">https://bit.ly/4g4FkRZ</a> - Não utilizar\nLink de abertura pelo app: <a href=""https://support.velotax.com.br/"" target=""_blank"">https://support.velotax.com.br/</a>\nWhatsApp Concierge escritórios: +55 11 91234-2309 (link escritórios Concierge)\nWhatsApp Concierge Pessoa Física (B2C): +55 11 93081-9393</p><p><strong>Sites</strong>\nSite Velotax: <a href=""https://www.velotax.com.br/"" target=""_blank"">https://www.velotax.com.br/</a>\nSite VeloPro: <a href=""https://velopro.velotax.com.br/p/cadastrar"" target=""_blank"">https://velopro.velotax.com.br/p/cadastrar</a></p><p><strong>Whitelabel com as Corretoras</strong>\nXP Velotax: <a href=""https://xp.velotax.com.br/p/cadastrar"" target=""_blank"">https://xp.velotax.com.br/p/cadastrar</a>\nBTG Velotax: <a href=""https://btg.velotax.com.br/p/cadastrar"" target=""_blank"">https://btg.velotax.com.br/p/cadastrar</a>\nWarren Velotax: <a href=""https://warren.velotax.com.br/p/cadastrar"" target=""_blank"">https://warren.velotax.com.br/p/cadastrar</a></p><p><strong>Links para download do app</strong>\nAplicativo app store. <a href=""https://apps.apple.com/br/app/velotax-irpf/id6499226151"" target=""_blank"">https://apps.apple.com/br/app/velotax-irpf/id6499226151</a>\nAplicativo play store: <a href=""https://play.google.com/store/apps/details?id=br.com.velotax.irpf.app&hl=pt_BR&pli=1"" target=""_blank"">https://play.google.com/store/apps/details?id=br.com.velotax.irpf.app&hl=pt_BR&pli=1</a></p><p><strong>Redes Sociais</strong>\nLinkedin: <a href=""https://www.linkedin.com/company/velotax-calculadora-de-ir/"" target=""_blank"">https://www.linkedin.com/company/velotax-calculadora-de-ir/</a>\nFacebook: <a href=""https://www.facebook.com/Velotax.com.br"" target=""_blank"">https://www.facebook.com/Velotax.com.br</a>\nInstagram: <a href=""https://www.instagram.com/velo_tax?igsh=Y3hjb3VraGppYmFs"" target=""_blank"">https://www.instagram.com/velo_tax?igsh=Y3hjb3VraGppYmFs</a>\nPlaylist MoneyMakers Spotify: <a href=""https://open.spotify.com/show/2Nx0w2JeaTbjVIcqFw6yG4?si=a4d821e1dbdf4b0e"" target=""_blank"">https://open.spotify.com/show/2Nx0w2JeaTbjVIcqFw6yG4?si=a4d821e1dbdf4b0e</a></p>"
"Links, link, telefone",06_ferramentas,Ferramentas do Agente,Telefones e Links Internos,"<p><strong>Telefones e Links Internos</strong>\nOs números e links fornecidos aqui são para uso interno dos agentes e não deverão, em nenhuma circunstância, ser divulgados a terceiros.</p><p><strong>Telefones de uso interno</strong>\nTel. Cobrança ativo (não divulgar): 11 3336-6691\nWhatsapp cobrança (não divulgar): 11 97028-3915</p><p><strong>Links de plataforma</strong>\nOctadesk: <a href=""https://app.octadesk.com/"" target=""_blank"">https://app.octadesk.com/</a>\nVeloboard: <a href=""https://veloboard.velotax.com.br/"" target=""_blank"">https://veloboard.velotax.com.br/</a>\nReclame Aqui Velotax: <a href=""https://www.reclameaqui.com.br/empresa/velotax/"" target=""_blank"">https://www.reclameaqui.com.br/empresa/velotax/</a>\n55PBX Webphone: <a href=""https://fone.55pbx.com/webphone/login"" target=""_blank"">https://fone.55pbx.com/webphone/login</a>\nConferir se cliente é Concierge: Escritórios_concierge.xlsx</p><p><strong>Token Calculadora</strong>\nVelotax: <a href=""[https://app.velotax.com.br/p/sso/(cole](https://app.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://app.velotax.com.br/p/sso/(cole](https://app.velotax.com.br/p/sso/(cole) aqui o token)</a>\nXP: <a href=""[https://xp.velotax.com.br/p/sso/(cole](https://xp.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://xp.velotax.com.br/p/sso/(cole](https://xp.velotax.com.br/p/sso/(cole) aqui o token)</a>\nBTG: <a href=""[https://btg.velotax.com.br/p/sso/(cole](https://btg.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://btg.velotax.com.br/p/sso/(cole](https://btg.velotax.com.br/p/sso/(cole) aqui o token)</a>\nWarren: <a href=""[https://warren.velotax.com.br/p/sso/(cole](https://warren.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://warren.velotax.com.br/p/sso/(cole](https://warren.velotax.com.br/p/sso/(cole) aqui o token)</a>\nMynt: <a href=""[https://mynt.velotax.com.br/p/sso(cole](https://mynt.velotax.com.br/p/sso(cole) aqui o token)"" target=""_blank"">[https://mynt.velotax.com.br/p/sso(cole](https://mynt.velotax.com.br/p/sso(cole) aqui o token)</a></p><p><strong>Token Velopro</strong>\nVelopro XP: <a href=""[https://xppro.velotax.com.br/p/sso/(cole](https://xppro.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://xppro.velotax.com.br/p/sso/(cole](https://xppro.velotax.com.br/p/sso/(cole) aqui o token)</a>\nVeloPro BTG: <a href=""[https://btgpro.velotax.com.br/p/sso/(cole](https://btgpro.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://btgpro.velotax.com.br/p/sso/(cole](https://btgpro.velotax.com.br/p/sso/(cole) aqui o token)</a>\nVeloPro Warren: <a href=""[https://warrenpro.velotax.com.br/p/sso/(cole](https://warrenpro.velotax.com.br/p/sso/(cole) aqui o token)"" target=""_blank"">[https://warrenpro.velotax.com.br/p/sso/(cole](https://warrenpro.velotax.com.br/p/sso/(cole) aqui o token)</a></p><p><strong>Plataforma para testes e simulações</strong>\nDev Velotax: <a href=""https://app-dev.velotax.com.br/p/login"" target=""_blank"">https://app-dev.velotax.com.br/p/login</a> - Ao criar usuário, preencha com a letra “T” na frente do nome para que se possa identificar em caso de avaliações.\nPara não ter que usar seu documento real, o agente pode criar um CPF fictício no site 4Devs: <a href=""https://www.4devs.com.br/#google_vignette"" target=""_blank"">https://www.4devs.com.br/#google_vignette</a>\nA senha deverá ser sempre: 123123</p><p><strong>Opção de site para verificar valor da ação</strong>: <a href=""https://br.investing.com/equities"" target=""_blank"">https://br.investing.com/equities</a></p>"
teste,06_ferramentas,Ferramentas do Agente,teste,teste teste
"Estilo, assinatura, fechamento",07_manual  de voz,Manual de Voz e Estilo,"Despedidas e Encerramento de atendimento","<p>As despedidas deverão sempre demonstrar a atitude acessível e proativa do Velotax, com simpatia e profissionalismo. \nSe haverá continuidade do atendimento, deixe claro que a atuação está em andamento e a situação corrente de forma clara e coerente com a situação.</p><p><strong>Se informações adicionais, necessárias à investigação e/ou resolução, foram solicitadas ao cliente:</strong>\n“Aguardo seu retorno para dar continuidade ao seu atendimento. \nNome S. - Atendimento Velotax”</p><p>“Assim que me retornar com as informações, seguiremos para a solução do seu caso. \nNome S. - Atendimento Velotax”</p><p>“Com essas informações em mãos, resolveremos seu problema rapidamente. \nNome S. - Atendimento Velotax”</p><p><strong>Em casos de escalação e procedimentos sendo realizados, posicione o cliente sobre a necessidade de aguardar, deixando o caminho livre para continuação do atendimento:</strong></p><p>“Assim que tivermos processado seu pedido, eu te retorno por este mesmo email. Fico a disposição se precisar de algo. \nNome S. - Atendimento Velotax”</p><p>“Seu pedido foi encaminhado para o time responsável e te retorno assim que concluído.\nNome S. - Atendimento Velotax”</p><p>Procure, principalmente em contatos finais e encerramentos do atendimento, se despedir de forma padronizada e alinhada com a identidade da empresa.</p><p>“Se tiver mais alguma dúvida, basta entrar em contato com nosso atendimento.\nNome S. - Atendimento Velotax”</p><p>“Caso precise de mais informações, nosso atendimento estará a disposição.\nNome S. - Suporte Velotax”</p><p>“Se precisar de mais alguma ajuda, não hesite em perguntar.\nAtenciosamente\nNome S. - Atendimento Velotax”</p><p>Lembre-se: O agente está falando em nome da empresa e deve encerrar o contato como tal: de forma séria, cordial, receptiva e deixando a porta aberta para novos contatos. \nNão utilize de informalidades como emojis, figurinhas, frases motivacionais, “beijos”, e outras comunicações que não estejam relacionadas aos tópicos do atendimento.</p>"
"manual de voz, estilo, escrita",07_manual  de voz,Manual de Voz e Estilo,Introdução,"<p>Este é um documento vivo, em constante revisão e evolução. A proposta é que sirva como guia para todos os conteúdos que nós, Velotaxers, formos construir. Não importa quem esteja atuando naquele contato, ou meio de comunicação utilizado, todos vamos comunicar na mesma voz, tons e estilo da nossa marca, oferecendo uma experiência linear e completa para os nossos clientes.</p><p>Antes de começarmos é importante entender de forma simples o que é voz, tom e estilo e o porquê de criar um material como este.</p><p>Todos nós temos a nossa voz, que é única. E todos também temos diversos tons de voz, que adequamos de acordo com cada situação do dia a dia. O mesmo acontece com uma marca.</p><p>A voz é a personalidade da marca. O tom reflete a forma como essa voz é aplicada - através da nossa comunicação com os nossos clientes. Já o estilo é um guia de fontes, cores, palavras e dicas para expressar essa voz e tom, na prática do dia a dia.</p>"
"manual de voz, estilo, escrita",07_manual  de voz,Manual de Voz e Estilo,"Nossa voz","<p><strong>Velotax:</strong> Pronúncia /ve.loˈtæks/. Substantivo masculino. O Velotax. O aplicativo do Velotax. Faça seu imposto no Velotax.<br><strong>Velo:</strong> latim, velocidade.<br><strong>Tax:</strong> inglês, imposto.</p><p><strong>Nossa missão:</strong> simplificar o modo com que as pessoas lidam com seus impostos.</p><p>Pensando na nossa missão e nos princípios que nos guiam, estamos aqui para descomplicar os impostos e simplificar a vida das pessoas. A nossa razão de existir é simplificar os impostos para que as pessoas tenham mais tempo livre para fazerem o que realmente gostam. Queremos “traduzir” impostos, explicar de maneira fácil e transparente para empoderar nossos usuários.</p><p>Somos uma <strong>Taxtech</strong> e um <strong>Correspondente Bancário</strong>. Como plataforma lidamos com impostos, tributações e obrigações, portanto, passamos seriedade e confiança. Este é um assunto que preocupa a maioria das pessoas e, em face de constantes mudanças, gera um ambiente de dúvidas e insegurança. Nós simplificamos esse ambiente através da tecnologia e de uma linguagem clara, demonstrando que somos ágeis e acessíveis. Como Correspondente Bancário, o Velotax é uma plataforma digital que atua para facilitar o processo de contratação de empréstimos baseados em recebimentos aos quais o usuário tem direito.</p><p><strong>Adjetivos que definem nossa personalidade:</strong><br>descomplicada;<br>simples;<br>direta;<br>rápida;<br>confiável;<br>séria.</p><p>Somos descomplicados e explicamos tudo de maneira simples, mas não usamos gírias e jargões. Somos diretos e rápidos, mas não somos secos e frios. Somos confiáveis e sérios, mas não somos engessados e burocráticos, fazendo tudo com leveza e segurança.</p><strong>Nossos tons</strong><p>“Your tone also changes depending on the emotional state of the person you’re addressing. You wouldn’t want to use the same tone of voice with someone who’s scared or upset as you would with someone who’s laughing”. Mailchimp<br>(Tradução livre: seu tom também muda dependendo do estado emocional da pessoa com quem você fala. Você não gostaria de usar o mesmo tom de voz com alguém que está assustado ou triste que usaria com alguém que está rindo.)</p><p>Uma marca possui uma voz e muitos tons. O tom é a forma de usar essa voz diante de cada interação com o público, com os clientes.</p><p>Se o cliente está feliz, nós vamos responder de maneira alegre, e também temos abertura até para pedir que ele nos indique para família"
"manual de voz, estilo, escrita",07_manual  de voz,Manual de Voz e Estilo,Estilo,"<p>“Sempre que estiver se comunicando com os clientes, pergunte-se: ‘Isso está claro? É gentil? É útil?” Kate Kiefer Lee</p><p>Como aplicar o nosso tom e vozes no dia a dia de trabalho? Abaixo estão alguns exemplos práticos.</p><strong>Contatos iniciais</strong><p>Sempre cumprimentar o cliente. Para mensagens escritas, siga um padrão de aproximação do tipo: Saudação, bom dia/boa tarde e perguntar como ele está.\nSempre se apresente na sequência e . Saber com quem fala e que há um responsável atento ao seu caso gera segurança confiança com o cliente.\nSinalizar o reconhecimento à demanda do cliente e dar direcionamento, mesmo que parcial, demonstrando proatividade na resolução.\nEm caso de necessidade de novas informações, confirmações, esclarecimentos, ou mais dados para prosseguir, solicitar os mesmos de forma gentil e clara. Se houver necessidade de instruções específicas para esses dados, fornecê-los prontamente nesta mesma solicitação. Isso evita o vai e volta de mensagens, mostrando praticidade e proatividade na resolução.</p><strong>Cliente satisfeito</strong><p>Diante de uma resposta em tom alegre, elogio, ou manifestação positiva, o que fazer:\nPerguntar como o cliente está e responder de volta caso ele pergunte: “Oi, João! Tudo bem?”. “Estou bem, obrigada por perguntar”.\nSe o cliente elogiar, interagir com ele: “Fico muito feliz em saber que você está gostando da nossa plataforma.”.\nAo se despedir, pode-se assinar falando em seu próprio nome e em nome da equipe de atendimento/suporte, e colocando-se sempre a disposição para novas demandas no futuro.</p><strong>O que não fazer:</strong><p>X Usar emojis.\nX Usar gírias e abreviações. (Pq, vlw, flw, btc…).\nX Chamar o cliente por um apelido. (Cliente se chama Michel e falar: “Oi, Mi!”).\nX Não se despedir com “beijos”, “abraços” e semelhantes.</p><strong>Cliente frustrado</strong><p>Se um cliente tem algum problema e está frustrado, precisamos ajustar esse tom de voz, caso contrário, vamos deixar o cliente ainda mais frustrado e também irritado.</p><p>Tom de voz empático: “Entendo sua frustração.”. “Sinto muito por essa experiência.”.\nTom de voz solucionador: “Vou te ajudar a resolver.”, “Pode contar comigo.”, “Sou responsável pelo seu chamado e vou te ajudar a resolver o mais rápido possível”.\nAtitude positiva. Reconhecemos as melhorias necessárias, mas não ficamos lamentando e pedindo desculpas demais. Focamos em resolver o problema e seguir adiante.\nTodo feedback construtivo é positivo, agradecemos, anotamos e passamos adiante. “Obrigada, seu feedback nos ajuda a melhorar”. “Seu feedback é muito importante para nós.”.</p><strong>O que não fazer:</strong><p>X Perguntar se está tudo bem (não, não está).\nX Utilizar expressões como “Agradeço a compreensão”. O cliente não disse que compreende e pode soar como uma forma de silenciar a pessoa. “É isso, não adianta argumentar”.\nX Culpar o cliente (o óbvio nem sempre é óbvio e se o usuário fez algo de errado, nossa função é colaborar e direcionar).\nX Demorar a responder o cliente. A espera para quem está aguardando solução é um fator de irritação. Se o problema ainda não foi solucionado, envie uma resposta reafirmando que está trabalhando para resolver o mais rápido possível).\nX Responder de maneira prolixa e/ou complexa. Não permita que o cliente se sinta “enrolado”.\nX E, como o óbvio nem sempre é óbvio: jamais xingar, depreciar, debochar, expor, humilhar, constranger nossos clientes.</p>"
"manual de voz, estilo, escrita",07_manual  de voz,Manual de Voz e Estilo,Primeira pessoa do singular ou do plural?,"<p>No Suporte, o ideal é sempre falar na primeira pessoa do singular, afinal, você se apresentou, e seu nome aparece no chamado. Além disso, é muito importante para o cliente ter uma referência a quem recorrer: “Sei que o Lucas G. está com meu chamado, me ajudando a resolver”.</p><p>Usamos a primeira pessoa do plural para:</p><p>Responder plataformas públicas: Além da resposta aparecer em nome do Velotax, estamos falando como o Velotax.<br>Quando falamos sobre um posicionamento adotado pela empresa, como, por exemplo, na recomendação de uma interpretação ou procedimento: “Nós recomendamos sempre aos nossos clientes que façam os cálculos mensalmente.”.</p>"
"manual de voz, estilo, escrita",07_manual  de voz,Manual de Voz e Estilo,"Dicas de Escrita","<p><strong>Atenção à correta gramática de sua escrita.</strong> Lembre-se que uma de nossas funções é a correta tradução e compreensão de leis, regulamentos e regras. Mensagens com erros de português e falta de atenção à forma como são compostas podem transmitir uma imagem de desleixo e imprecisão.</p><p>Seguem agora alguns guias e referências para qualquer dúvida ou esquecimento que possa haver.</p><strong>Interjeições</strong><p>Lembre-se de colocar a vírgula logo após as interjeições e outros cumprimentos. A exclamação após o nome é opcional, mas gera simpatia na forma da escrita. Seleciona a forma que mais se adequa ao tema do atendimento.<br>Apresente-se na sequência (com a forma como prefere que o nome seja referido, sem problemas), e se coloque como parte do time. Deixe o cliente saber que está em boas mãos.</p><p>Para contatos consecutivos, não é necessário se apresentar novamente se a conversa não foi reatribuída ou transferida de responsabilidade. Cumprimente o cliente, e siga para o tópico de maneira objetiva.</p><strong>Nomes Próprios</strong><p>Nomes próprios se iniciarão sempre com letra maiúscula. Nomes próprios compostos terão todas as primeiras letras maiúsculas.<br>Ex.: Velotax, Receita Federal, Bolsa de Valores.</p><strong>Siglas</strong><p>Apesar das regras a respeito desse tema serem relativamente nebulosas, pode-se acatar como padrão a forma jornalística do uso das siglas, porque se obtém uma familiaridade com o leitor, que já se habituou a vê-las dessa forma em publicações corriqueiras do dia a dia.<br>Dessa forma, opte por utilizar letras maiúsculas para as siglas.<br>Ex.: IR, DARF, RF, IRPF.</p><strong>Uso do Hífen</strong><p><strong>Prefixo mini</strong><br>Se a palavra posterior começar com i ou h, usa-se hífen. Exemplo: mini-índice.<br>Se a palavra posterior começar com r ou s, dobra a consoante e se escreve tudo junto. Exemplo: minissérie, minirreforma.<br>Demais casos: não há hífen e se escreve junto. Exemplo: minicontrato, minidólar.</p><p><strong>Prefixo sub</strong><br>Usado para indicar algo que está abaixo, inferior.<br>Se a segunda palavra começa com b, h ou r usa-se hífen. Exemplo: sub-reitor.<br>Demais casos: não se usa hífen, se escreve junto. Exemplo: submotivo, subutilizar.</p><p><strong>Não tem mais!</strong><br>Não se usa mais hífen em: dia a dia e passo a passo.</p><p><strong>Sempre teve e continua tendo</strong><br>Bem-vinda/o, boas-vindas: “Seja bem-vinda ao Velotax!”.</p><strong>Uso de Crase</strong><p><strong>A + a</strong><br>Mistura ou fusão: é contração de vogais idênticas, preposição a + artigo feminino a ou a inicial de pronomes. Confira algumas dicas simples (apenas as mais usuais):\nSe usa apenas diante de palavras femininas. Uma dica é, na dúvida, sempre testar substituir por um sinônimo masculino, se se usar “ao” a palavra feminina terá crase. Exemplo: estarei atenta ao problema; estarei atenta à situação; fui ao Velotax; fui à empresa.<br>Ao indicar horas: às 8h, às 14h, às 18h30…<br>É opcional diante de pronomes possessivos femininos: estou à sua disposição (estou à disposição tem crase);</p><strong>Gerundismo</strong><p>O gerundismo deve ser evitado a todo custo. É muito citado em experiências ruins de atendimento, e por isso, gera um sentimento automático de rejeição ao atendimento. Não é uma maneira elegante, tampouco clara de se comunicar. Complica a compreensão e passa a impressão de ineficiência.</p><p>“O gerundismo é o uso inadequado do gerúndio e se tornou um vício de linguagem. Ele apareceu por conta de traduções ruins da língua inglesa e pelo uso corriqueiro e demasiado, prejudicando a comunicação verbal e escrita da forma correta do Gerúndio. O gerundismo dá a ideia de um futuro em andamento, uma ação duradoura que não será finalizada nunca; já o gerúndio, usado na forma adequada, dá ideia de uma ação em andamento.” InfoEscola</p><p>Evite esse vício, principalmente, nas situações de atendimento telefônico, ou por canais de comunicação direta (whatsapp ou mensageiros de redes sociais). Prezamos pela inovação e clareza nas informações e no tratamento das solicitações dos cliente. Dessa forma, vamos evitar que a comunicação da empresa seja considerada igual a de tantos outros serviços já considerados insatisfatórios.</p><p>Como não falar: estarei fazendo, estarei ligando, vou estar verificando, posso estar te passando, posso estar te ajudando, estarei te ligando, etc.<br>Como falar: de todas as outras maneiras. Vou fazer, vou ligar, verifiquei, vou te passar, posso te ajudar, estou calculando, etc.</p>"
"manual de voz, estilo, escrita",07_manual  de voz,Manual de Voz e Estilo,Glossário,"<p><strong>“Por que”</strong> (separado e sem acento), para pergunta em que se espera explicação ou motivo. \n“Por que preciso fazer integração com o gov?\n<strong>“Porque”</strong> (junto e sem acento), para a explicação de algo. Comumente a resposta do “Por que” \n“Porque podemos carregar as informações automaticamente dessa forma”\n<strong>“Porquê”</strong> (junto, com acento), para demonstrar questionamento de um assunto apresentado.\n“Minha declaração está na malha fina, mas não entendi o porquê.”\n<strong>“Por quê”</strong> (separado, com acento), para interrogativas diretas, seguido do ponto de interrogação. \n“Minha declaração continua em processamento. Por quê?”\n<strong>Mas</strong>: oposição, sinônimo de porém, contudo, entretanto, todavia…\n<strong>Mais</strong>: quantidade, antônimo de menos.\n<strong>Mal</strong>: antônimo de bem. Exemplo: mal-estar do agente.\n<strong>Mau</strong>: antônimo de bom. Exemplo: mau funcionamento da plataforma. \n<strong>Com relação a</strong>: usada para introduzir/começar um assunto.\n<strong>Em relação a</strong>: usada para comparar. Geralmente, contém dados, números.\n<strong>Contanto</strong>: condição.\n<strong>Contando</strong>: contar.\n<strong>Por ora</strong>: por enquanto.\n<strong>Por hora</strong>: a hora, os minutos.\n<strong>Receita Federal</strong>: nome próprio, portanto, escrito com iniciais maiúsculas.\n<strong>Passo a passo</strong> (caiu o hífen).\n<strong>Dia a dia</strong> (caiu o hífen).\n<strong>Bem-vindo, bem-vinda e boas-vindas</strong> (tudo com hífen).\n<strong>Att</strong> não é abreviação de atenciosamente, mas de ""in attenttion to"", que em inglês é equivalente à ""A/C"" (aos cuidados de), utilizada para direcionar o documento a um destinatário específico. Segundo a Academia Brasileira de Letras, a abreviação de ""Atenciosamente"" é ""At. te"". O ideal é não fazer uso de abreviações.\n<strong>Despercebido</strong>: que não se nota (nega o verbo perceber).\n<strong>Desapercebido</strong>: desprevenido, desprovido.\n<strong>Ainda assim</strong>: apesar disso, porém, entretanto, mesmo assim...\n<strong>Ainda sim</strong>: uso incomum (não recomendado), antônimo de “ainda não”, mas usado erroneamente no lugar de “ainda assim”.\n<strong>À disposição</strong>, com crase: locução adverbial, estar ao dispor de alguém. Exemplo: eu fico à disposição, caso ainda precise de ajuda.\n<strong>A disposição</strong>, sem crase: se refere ao modo como algo está organizado ou à condição física/mental de alguém\n<strong>À vontade</strong>, com crase: locução adverbial. Fica (fique à vontade para entrar em contato durante esse período).\n<strong>A vontade</strong>, sem crase: apenas a palavra vontade, referenciada (ela teve vontade de ligar para o cliente para acalmá-lo).\n<strong>Traz</strong>: terceira pessoa do verbo trazer. Exemplo: ao integrar com a B3, o Velotax traz as operações de vendas.\n<strong>Trás</strong>: sinônimo de atrás, após. Usado com preposição. Exemplos: 1. A integração traz operações de janeiro de 2020 em diante, não para trás. 2. Por trás desse botão, existe um código. \n<strong>Debaixo</strong>: na parte inferior, sob, por dentro. (pode ser substituída por sob, se encaixar sob, o correto é debaixo).\n<strong>De baixo</strong>: oposto da palavra “cima”. Exemplos: 1. Veio de baixo. 2. Olhe de baixo para cima. 3. O livro está na parte de baixo do armário.\n<strong>Independente</strong>: adjetivo - que é livre. O Brasil é um país independente.\n<strong>Independentemente</strong>: advérbio</p>"
