topico,contexto,Palavras_chave,URLs de Imagens
Cenário 1: Valor creditado na conta Velobank e empréstimo liquidado,"Situação
O cliente recebeu a restituição na conta Velobank, que foi automaticamente utilizada para
quitar o empréstimo de antecipação.
Roteiro de Atendimento
Saudação Inicial:

""Olá [Nome do Cliente], meu nome é [Seu Nome] e sou do Velotax. Como posso ajudar?""
Identificação e Explicação:
""Entendo sua preocupação, [Nome do Cliente]. Verifiquei aqui que o valor da sua
restituição foi creditado em sua conta Velobank e automaticamente utilizado para quitar
o empréstimo de antecipação que você contratou. Isso está de acordo com o processo
que foi explicado no momento da contratação.""
Explicação do Processo:
""Para que você entenda melhor, a antecipação da restituição do Imposto de Renda
funciona da seguinte forma: o Velotax adianta o valor da sua restituição, e quando a
Receita Federal libera o pagamento, esse valor é automaticamente direcionado para
quitar o empréstimo que você fez conosco. No momento da contratação, você confirmou
que receberia esse valor antecipado e que ele seria usado para pagar o total da sua
restituição.""
Reforço da Contratação:
""Lembro que, durante o processo de contratação, todas as condições e o funcionamento
da antecipação foram apresentados e confirmados por você. O objetivo é facilitar o acesso
ao seu dinheiro de forma rápida, e a quitação automática garante que você não precise se
preocupar com o pagamento do empréstimo.""
Gerenciamento de Reclamações
Se o cliente mencionar órgãos reguladores:
""Compreendo sua insatisfação, [Nome do Cliente]. Para que possamos analisar seu caso
de forma mais aprofundada e encontrar a melhor solução, vou encaminhar sua
solicitação para um de nossos gestores. Ele(a) entrará em contato com você o mais breve
possível para entender melhor a situação e verificar as possibilidades. Nosso objetivo é
garantir sua satisfação e evitar qualquer tipo de transtorno.""
Ação Imediata: Escalonar para o gestor com todos os detalhes da conversa.",Cenário 1: Valor creditado na conta Velobank e empréstimo liquidado,
"Cenário 2: Valor creditado pela Receita, mas não processado na conta Velobank","Situação
A Receita Federal já liberou o pagamento, mas o valor ainda não foi processado na conta
Velobank do cliente.

Roteiro de Atendimento
Saudação Inicial:
""Olá [Nome do Cliente], meu nome é [Seu Nome] e sou do Velotax. Como posso ajudar?""
Identificação e Tranquilização:
""Entendo sua preocupação, [Nome do Cliente]. Verifiquei aqui que o valor da sua
restituição consta como creditado pela Receita Federal, mas ainda não foi processado em
sua conta Velobank. Isso pode acontecer devido ao processo de baixa dos valores pela
Receita.""
Explicação do Status:
""Estamos aguardando a baixa dos valores pela Receita Federal. Esse processo pode levar
algumas horas ou até alguns dias, dependendo do volume de transações que a Receita
está processando. É um procedimento normal e não há motivo para preocupação.""
Compromisso de Análise:
""Para garantir que seu caso seja tratado com a devida atenção, vamos analisar sua
situação individualmente. Você receberá um retorno da nossa equipe em até
horas

com um parecer detalhado sobre o status do seu pagamento.""
Reforço sobre Quitação:
""É importante lembrar que, quando o valor for creditado em sua conta Velobank, ele será
automaticamente utilizado para a quitação integral do contrato de antecipação que você
fez conosco. Esse é o funcionamento padrão do serviço.""
Explicação do Processo:

""Para relembrar como funciona a antecipação da restituição: o Velotax adianta o valor da
sua restituição, e quando a Receita Federal libera o pagamento, esse valor é direcionado
para quitar o empréstimo que você fez conosco. No momento da contratação, você
confirmou que receberia esse valor antecipado e que ele seria usado para pagar o total da
sua restituição.""
Gerenciamento de Reclamações
Se o cliente mencionar órgãos reguladores:
Chame um dos gestores para entender o caso
Ação Imediata: Escalonar para o gestor com todos os detalhes da conversa.","Cenário 2: Valor creditado pela Receita, mas não processado na conta Velobank",
Frases de Apoio e Encerramento,"Demonstração de Empatia
• ""Compreendo perfeitamente sua preocupação...""
• ""Entendo que essa situação pode gerar ansiedade...""
• ""Sua satisfação é muito importante para nós...""",Frases de Apoio e Encerramento,
Encerramento Positivo,"""Agradeço a sua compreensão, [Nome do Cliente]. O Velotax está à disposição para
qualquer outra dúvida.""
• ""Ficamos à disposição para esclarecer qualquer dúvida adicional.""
• ""Obrigado(a) por escolher o Velotax. Tenha um excelente dia!""",Encerramento Positivo,
Compromissos de Retorno,"• ""Você receberá nosso retorno em até 48

horas.""

• ""Um gestor entrará em contato com você o mais breve possível.""
• ""Acompanharemos seu caso até a completa resolução.""",Compromissos de Retorno,
Como antecipar o meu imposto de renda?,"Passo a passo para antecipar a restituição do IRPF:
Abra o app do seu banco ou financeira.

Procure a opção “Antecipação de Restituição do IRPF”.

Informe os dados pedidos (CPF, ano da declaração, valor estimado).

Confira as condições (taxas, prazos).

Confirme o pedido de antecipação.

Aguarde a análise e aprovação.

Se aprovado, o valor será creditado na sua conta.

","Cliente quer antecipar, como funciona a antecipação, passo  a passo antecipação, antecipação, antecipar",
Terceiro lote !!!,"  do Cliente]. Para que possamos analisar seu caso
de forma mais aprofundada e encontrar a melhor solução, vou encaminhar sua
solicitação para um de nossos gestores. Ele(a) entrará em contato com você o mais breve
possível para entender melhor a situação e verificar as possibilidades. Nosso objetivo é
garantir sua satisfação e evitar qualquer tipo de transtorno.""
ao seu dinheiro de forma rápida, e a quitação automática garante que você não precise se
preocupar com o pagamento do empréstimo.""","Terceiro lote, juros terceiro lote, terceiro lote, juros lote 3, lote 3, 3 lote",
macroteste,"Olá, [Nome do Cliente], tudo bem?<br><br>
Eu sou {{ASSINATURA_ATENDENTE}} do <strong>Atendimento Velotax</strong>.
<br><br>
[...aqui vai o resto da sua resposta...]
<br><br>
Atenciosamente,<br><br>
{{ASSINATURA_ATENDENTE}}<br>
<strong><span style=""color: #0000ff;"">Atendimento Velotax - Transforme seu IRPF em dinheiro</span></strong>",macroteste,
Ausencia de ativo,"Olá, [Nome do Cliente], tudo bem?<br><br>
Eu sou {{ASSINATURA_ATENDENTE}} do <strong>Atendimento Velotax</strong>.
<br><br>
Para que eu possa te ajudar da melhor forma possível, preciso de mais alguns detalhes sobre o ativo que está faltando no fechamento. Poderia, por favor, me enviar algumas informações adicionais?

Se possível, encaminhe prints da tela onde você identificou a ausência do ativo, além de especificar quais ativos ou valores deveriam constar no fechamento. Qualquer outra informação relevante que você puder compartilhar também será muito útil para entendermos melhor o ocorrido.

Com essas informações, conseguiremos analisar o caso de maneira mais precisa e, se necessário, encaminhá-lo para a equipe responsável para que a situação seja resolvida da melhor forma.

Fico no aguardo e, claro, à disposição para qualquer dúvida ou para ajudar no que for preciso.

<br><br>
Atenciosamente,<br><br>
{{ASSINATURA_ATENDENTE}}<br>
<strong><span style=""color: #0000ff;"">Atendimento Velotax - Transforme seu IRPF em dinheiro</span></strong>",Ausencia de ativo,
estorno negado,"Olá, [Nome do Cliente], tudo bem?<br><br>
Eu sou {{ASSINATURA_ATENDENTE}} do <strong>Atendimento Velotax</strong>.
<br><br>

Entendemos que você gostaria de solicitar o estorno do valor contratado, e queremos trazer um esclarecimento sobre essa questão.



O estorno pode ser solicitado dentro de um prazo de 7 dias corridos após a contratação, desde que nenhuma funcionalidade paga da plataforma tenha sido utilizada nesse período. Essa informação está disponível no Termo de Contratação aceito no momento da compra.



Verificamos aqui que você utilizou a plataforma para gerar o DARF referente ao período de apuração MM/AAAA, o que caracteriza o uso de uma funcionalidade paga. Por esse motivo, não será possível atender ao seu pedido de estorno.



Nosso objetivo é sempre oferecer o máximo de suporte e transparência. Caso tenha mais dúvidas ou precise de ajuda em outros pontos, estamos aqui para ajudar!
<br><br>
Atenciosamente,<br><br>
{{ASSINATURA_ATENDENTE}}<br>
<strong><span style=""color: #0000ff;"">Atendimento Velotax - Transforme seu IRPF em dinheiro</span></strong>","negado, estorno",
interesse nos serviços,"Olá, [Nome do Cliente], tudo bem?<br>
Eu sou {{ASSINATURA_ATENDENTE}} do <strong>Atendimento Velotax</strong>.
<br>
Seus dados foram registrados com sucesso e inseridos na lista de análise.
Assim que a opção estiver disponível, os clientes que estiverem na planilha serão notificados diretamente.
Agradecemos pelo interesse e permanecemos à disposição.
<br>
Atenciosamente,<br>
{{ASSINATURA_ATENDENTE}}<br>
<strong><span style=""color: #0000ff;"">Atendimento Velotax - Transforme seu IRPF em dinheiro</span></strong>","interesse, planilha",
